children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
Associate's degree,Environmental science and protection technicians including health,34700,92,65,91,very high,medium to high,very high,very high,level2,CEO
,Electrical and electronics drafters    ,25300,49,34,81,low to medium,low to medium,high,high,,
,Diagnostic medical sonographers    ,74300,87,60,58,very high,medium to high,medium to high,medium to high,,
,Legal support workers all other    ,50400,16,3,25,very low,very low,low,low,,
,Nuclear technicians    ,6700,92,65,91,very high,medium to high,very high,very high,,
,Occupational therapy assistants    ,47100,30,57,26,low,medium to high,low,low,,
,Veterinary technologists and technicians    ,112900,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Preschool teachers except special education    ,540400,30,51,44,low,medium to high,low to medium,low to medium,,
,Electrical and electronic engineering technologists and technicians    ,125800,92,65,91,very high,medium to high,very high,very high,,
,Human resources assistants except payroll and timekeeping    ,123900,91,6,21,very high,very low,low,low,,
,Embalmers    ,3900,21,60,13,low,medium to high,very low,very low,,
,Agricultural and food science technicians,24200,91,51,84,very high,medium to high,very high,very high,,
,Air traffic controllers    ,24300,62,33,29,medium to high,low,low,low,,
,Aerospace engineering and operations technologists and technicians    ,11900,92,65,91,very high,medium to high,very high,very high,,
,Forest and conservation technicians,21200,,,,,,,,,
,Computer network support specialists,195100,,,,,,,,,
,Respiratory therapists    ,135800,62,64,59,medium to high,medium to high,medium to high,medium to high,,
,Nuclear medicine technologists    ,18500,87,60,58,very high,medium to high,medium to high,medium to high,,
,Calibration technologists and technicians and engineering technologists and technicians except drafters all other,91600,,,,,,,,,
,Life physical and social science technicians all other    ,71000,80,51,82,high,medium to high,high,high,,
,Mechanical engineering technologists and technicians    ,43500,92,65,91,very high,medium to high,very high,very high,,
,Morticians undertakers and funeral arrangers    ,26600,2,10,1,very low,very low,very low,very low,,
,Dietetic technicians    ,30200,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Industrial engineering technologists and technicians    ,68500,92,65,91,very high,medium to high,very high,very high,,
,Broadcast technicians    ,32700,100,77,82,very high,high,high,high,,
,Paralegals and legal assistants    ,337800,16,3,25,very low,very low,low,low,,
,Funeral home managers,28600,,,,,,,,,
,Geological and hydrologic technicians,19000,92,65,91,very high,medium to high,very high,very high,,
,Radiologic technologists and technicians    ,212000,87,60,58,very high,medium to high,medium to high,medium to high,,
,Medical equipment repairers    ,53900,39,67,46,low to medium,high,low to medium,low to medium,,
,Mechanical drafters    ,57500,49,34,81,low to medium,low to medium,high,high,,
,Environmental engineering technologists and technicians    ,18500,92,65,91,very high,medium to high,very high,very high,,
,Dental hygienists,226400,,,,,,,,,
,Civil engineering technologists and technicians    ,70900,92,65,91,very high,medium to high,very high,very high,,
,Chemical technicians    ,68100,59,55,23,medium to high,medium to high,low,low,,
,Architectural and civil drafters    ,102900,49,34,81,low to medium,low to medium,high,high,,
,Drafters all other    ,15200,49,34,81,low to medium,low to medium,high,high,,
,Cardiovascular technologists and technicians    ,57400,87,60,58,very high,medium to high,medium to high,medium to high,,
,Web developers and digital interface designers,174300,,,,,,,,,
,Physical therapist assistants    ,98700,30,57,26,low,medium to high,low,low,,
,Radio cellular and tower equipment installers and repairers    ,15000,69,68,58,high,high,medium to high,medium to high,,
,Magnetic resonance imaging technologists    ,38700,87,60,58,very high,medium to high,medium to high,medium to high,,
,Avionics technicians    ,22800,30,61,35,low,medium to high,low to medium,low to medium,,
,Electro-mechanical and mechatronics technologists and technicians    ,14600,92,65,91,very high,medium to high,very high,very high,,
,Desktop publishers    ,10400,26,33,21,low,low,low,low,,
,Radiation therapists    ,18500,26,22,54,low,low,medium to high,medium to high,,
Bachelor's degree,Exercise physiologists    ,19800,43,22,78,low to medium,low,high,high,level2,
,Chemical engineers    ,32599.998,99,60,100,very high,medium to high,very high,very high,,
,Emergency management directors    ,10400,50,26,68,low to medium,low,high,high,,
,Loan officers    ,316900,37,16,81,low to medium,very low,high,high,,
,Clergy    ,243900,5,1,2,very low,very low,very low,very low,,
,Special education teachers middle school,84700,24,25,54,low,low,medium to high,medium to high,,
,Educational instruction and library workers all other    ,141400,,,,,,,,,
,Fine artists including painters sculptors and illustrators    ,28300,66,33,52,medium to high,low,medium to high,medium to high,,
,Cartographers and photogrammetrists    ,12000,80,54,84,high,medium to high,very high,very high,,
,Landscape architects    ,24500,67,25,87,high,low,very high,very high,,
,Commercial and industrial designers    ,42200,59,47,77,medium to high,low to medium,high,high,,
,Animal scientists    ,2800,17,25,53,low,low,medium to high,medium to high,,
,Special education teachers kindergarten and elementary school    ,193000,24,25,54,low,low,medium to high,medium to high,,
,Music directors and composers    ,58000,13,9,28,very low,very low,low,low,,
,Cost estimators    ,214200,50,26,68,low to medium,low,high,high,,
,Database administrators and architects,132500,,,,,,,,,
,Network and computer systems administrators,373900,,,,,,,,,
,Social and community service managers    ,175500,50,26,68,low to medium,low,high,high,,
,Set and exhibit designers    ,15200,59,47,77,medium to high,low to medium,high,high,,
,Substitute teachers short-term,619400,,,,,,,,,
,Management analysts    ,876300,33,25,80,low,low,high,high,,
,Marketing managers    ,286300,68,37,82,high,low to medium,high,high,,
,Geoscientists except hydrologists and geographers    ,31800,59,25,91,medium to high,low,very high,very high,,
