children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
Associate's degree,Dental hygienists,226400,,,,,,,,level2,CEO
,Aerospace engineering and operations technologists and technicians    ,11900,92,65,91,very high,medium to high,very high,medium to high,,
,Broadcast technicians    ,32700,100,77,82,very high,high,high,high,,
,Nuclear technicians    ,6700,92,65,91,very high,medium to high,very high,medium to high,,
,Physical therapist assistants    ,98700,30,57,26,low,medium to high,low,medium to high,,
,Civil engineering technologists and technicians    ,70900,92,65,91,very high,medium to high,very high,medium to high,,
,Radio cellular and tower equipment installers and repairers    ,15000,69,68,58,high,high,medium to high,high,,
,Respiratory therapists    ,135800,62,64,59,medium to high,medium to high,medium to high,medium to high,,
,Web developers and digital interface designers,174300,,,,,,,,,
,Human resources assistants except payroll and timekeeping    ,123900,91,6,21,very high,very low,low,very low,,
,Veterinary technologists and technicians    ,112900,39,52,42,low to medium,medium to high,low to medium,medium to high,,
,Mechanical engineering technologists and technicians    ,43500,92,65,91,very high,medium to high,very high,medium to high,,
,Funeral home managers,28600,,,,,,,,,
,Occupational therapy assistants    ,47100,30,57,26,low,medium to high,low,medium to high,,
,Calibration technologists and technicians and engineering technologists and technicians except drafters all other,91600,,,,,,,,,
,Avionics technicians    ,22800,30,61,35,low,medium to high,low to medium,medium to high,,
,Mechanical drafters    ,57500,49,34,81,low to medium,low to medium,high,low to medium,,
,Electrical and electronics drafters    ,25300,49,34,81,low to medium,low to medium,high,low to medium,,
,Air traffic controllers    ,24300,62,33,29,medium to high,low,low,low,,
,Nuclear medicine technologists    ,18500,87,60,58,very high,medium to high,medium to high,medium to high,,
,Paralegals and legal assistants    ,337800,16,3,25,very low,very low,low,very low,,
,Forest and conservation technicians,21200,,,,,,,,,
,Industrial engineering technologists and technicians    ,68500,92,65,91,very high,medium to high,very high,medium to high,,
,Electro-mechanical and mechatronics technologists and technicians    ,14600,92,65,91,very high,medium to high,very high,medium to high,,
,Morticians undertakers and funeral arrangers    ,26600,2,10,1,very low,very low,very low,very low,,
,Chemical technicians    ,68100,59,55,23,medium to high,medium to high,low,medium to high,,
,Diagnostic medical sonographers    ,74300,87,60,58,very high,medium to high,medium to high,medium to high,,
