children__name,children__children__name,children__children__value,children__children__pct_software,children__children__pct_robot,children__children__pct_ai,children__colname,name
Associate's degree,Aerospace engineering and operations technologists and technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,11.9,92,65,91,level2,CEO
,Agricultural and food science technicians,24.200001,91,51,84,,
,Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller,24.299999,62,33,29,,
,Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter,102.9,49,34,81,,
,Avionics technicians    * Aircraft Armament Mechanic* Aircraft Electrician* Aircraft Instrument Mechanic* Airplane Electrician* Automatic Pilot Mechanic* Aviation Electronics Technician* In-Flight Refueling System Repairer,22.799999,30,61,35,,
,Broadcast technicians    * Audio Engineer* Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer,32.700001,100,77,82,,
,Calibration technologists and technicians and engineering technologists and technicians except drafters all other,91.599998,,,,,
,Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist,57.400002,87,60,58,,
,Chemical technicians    * Assayer* Chemical Laboratory Technician* Chemical Technician* Inorganic Chemical Technician,68.099998,59,55,23,,
,Civil engineering technologists and technicians    * Civil Engineering Technician* Concrete Engineering Technician* Geotechnical Engineering Technician* Highway Engineering Technician* Structural Engineering Technician* Transportation Engineering Technician,70.900002,92,65,91,,
,Computer network support specialists,195.10001,,,,,
,Dental hygienists,226.39999,,,,,
,Desktop publishers    * DTP Operator* Desktop Publisher* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist,10.4,26,33,21,,
,Diagnostic medical sonographers    * Cardiac/Vascular Sonographer* Diagnostic Medical Sonographer* Registered Diagnostic Medical Sonographer* Sonographer* Ultrasonographer* Ultrasound Technician* Ultrasound Technologist,74.300003,87,60,58,,
