children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
Associate's degree,Morticians undertakers and funeral arrangers    ,26600,2,10,1,very low,very low,very low,very low,level2,CEO
,Forest and conservation technicians,21200,,,,,,,,,
,Radiologic technologists and technicians    ,212000,87,60,58,very high,medium to high,medium to high,medium to high,,
,Agricultural and food science technicians,24200,91,51,84,very high,medium to high,very high,very high,,
,Chemical technicians    ,68100,59,55,23,medium to high,medium to high,low,low,,
,Preschool teachers except special education    ,540400,30,51,44,low,medium to high,low to medium,low to medium,,
,Cardiovascular technologists and technicians    ,57400,87,60,58,very high,medium to high,medium to high,medium to high,,
,Embalmers    ,3900,21,60,13,low,medium to high,very low,very low,,
,Web developers and digital interface designers,174300,,,,,,,,,
,Mechanical drafters    ,57500,49,34,81,low to medium,low to medium,high,high,,
,Human resources assistants except payroll and timekeeping    ,123900,91,6,21,very high,very low,low,low,,
,Nuclear medicine technologists    ,18500,87,60,58,very high,medium to high,medium to high,medium to high,,
,Electrical and electronics drafters    ,25300,49,34,81,low to medium,low to medium,high,high,,
,Calibration technologists and technicians and engineering technologists and technicians except drafters all other,91600,,,,,,,,,
,Radio cellular and tower equipment installers and repairers    ,15000,69,68,58,high,high,medium to high,medium to high,,
,Respiratory therapists    ,135800,62,64,59,medium to high,medium to high,medium to high,medium to high,,
,Electro-mechanical and mechatronics technologists and technicians    ,14600,92,65,91,very high,medium to high,very high,very high,,
,Veterinary technologists and technicians    ,112900,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Aerospace engineering and operations technologists and technicians    ,11900,92,65,91,very high,medium to high,very high,very high,,
,Magnetic resonance imaging technologists    ,38700,87,60,58,very high,medium to high,medium to high,medium to high,,
,Mechanical engineering technologists and technicians    ,43500,92,65,91,very high,medium to high,very high,very high,,
,Broadcast technicians    ,32700,100,77,82,very high,high,high,high,,
,Occupational therapy assistants    ,47100,30,57,26,low,medium to high,low,low,,
,Dietetic technicians    ,30200,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Desktop publishers    ,10400,26,33,21,low,low,low,low,,
,Life physical and social science technicians all other    ,71000,80,51,82,high,medium to high,high,high,,
,Dental hygienists,226400,,,,,,,,,
,Environmental engineering technologists and technicians    ,18500,92,65,91,very high,medium to high,very high,very high,,
,Funeral home managers,28600,,,,,,,,,
,Civil engineering technologists and technicians    ,70900,92,65,91,very high,medium to high,very high,very high,,
,Medical equipment repairers    ,53900,39,67,46,low to medium,high,low to medium,low to medium,,
,Environmental science and protection technicians including health,34700,92,65,91,very high,medium to high,very high,very high,,
,Air traffic controllers    ,24300,62,33,29,medium to high,low,low,low,,
,Electrical and electronic engineering technologists and technicians    ,125800,92,65,91,very high,medium to high,very high,very high,,
,Computer network support specialists,195100,,,,,,,,,
,Legal support workers all other    ,50400,16,3,25,very low,very low,low,low,,
,Paralegals and legal assistants    ,337800,16,3,25,very low,very low,low,low,,
,Industrial engineering technologists and technicians    ,68500,92,65,91,very high,medium to high,very high,very high,,
,Avionics technicians    ,22800,30,61,35,low,medium to high,low to medium,low to medium,,
,Physical therapist assistants    ,98700,30,57,26,low,medium to high,low,low,,
,Architectural and civil drafters    ,102900,49,34,81,low to medium,low to medium,high,high,,
,Geological and hydrologic technicians,19000,92,65,91,very high,medium to high,very high,very high,,
,Radiation therapists    ,18500,26,22,54,low,low,medium to high,medium to high,,
,Diagnostic medical sonographers    ,74300,87,60,58,very high,medium to high,medium to high,medium to high,,
,Nuclear technicians    ,6700,92,65,91,very high,medium to high,very high,very high,,
,Drafters all other    ,15200,49,34,81,low to medium,low to medium,high,high,,
Bachelor's degree,Designers all other    ,13600,59,47,77,medium to high,low to medium,high,high,level2,
,Architects except landscape and naval    ,129899.99,67,25,87,high,low,very high,very high,,
,Securities commodities and financial services sales agents    ,464200,20,8,64,low,very low,medium to high,medium to high,,
,Agricultural inspectors    ,15200,82,67,93,high,high,very high,very high,,
,Teaching assistants postsecondary,169600,7,33,7,very low,low,very low,very low,,
,Conservation scientists    ,24500,64,54,77,medium to high,medium to high,high,high,,
,Health and safety engineers except mining safety engineers and inspectors    ,26400,62,50,84,medium to high,low to medium,very high,very high,,
,Special education teachers all other    ,36600,24,25,54,low,low,medium to high,medium to high,,
,Accountants and auditors    ,1436100,13,12,48,very low,very low,low to medium,low to medium,,
,Child family and school social workers    ,342500,20,17,60,low,low,medium to high,medium to high,,
,Librarians and media collections specialists,146500,7,18,26,very low,low,low,low,,
,Clinical laboratory technologists and technicians,337800,87,53,100,very high,medium to high,very high,very high,,
,Religious workers all other    ,65000,,,,,,,,,
,Aerospace engineers    ,66400,20,36,80,low,low to medium,high,high,,
,Film and video editors    ,38300,84,68,80,very high,high,high,high,,
,Marine engineers and naval architects    ,11800,64,36,100,medium to high,low to medium,very high,very high,,
,Fundraisers    ,100600,24,19,54,low,low,medium to high,medium to high,,
,Educational instruction and library workers all other    ,141400,,,,,,,,,
,Producers and directors    ,159500,32,25,43,low,low,low to medium,low to medium,,
,Soil and plant scientists    ,17800,17,25,53,low,low,medium to high,medium to high,,
,Writers and authors    ,131200,5,2,23,very low,very low,low,low,,
,Airline pilots copilots and flight engineers    ,85500,66,59,80,medium to high,medium to high,high,high,,
,Emergency management directors    ,10400,50,26,68,low to medium,low,high,high,,
,Career/technical education teachers secondary school    ,73800,19,10,43,low,very low,low to medium,low to medium,,
,Fish and game wardens    ,7200,59,54,28,medium to high,medium to high,low,low,,
,Community and social service specialists all other    ,105200,5,9,21,very low,very low,low,low,,
,Natural sciences managers    ,71400,50,26,68,low to medium,low,high,high,,
,Microbiologists    ,20200,62,52,82,medium to high,medium to high,high,high,,
,Materials scientists    ,7000,47,18,85,low to medium,low,very high,very high,,
,Operations research analysts    ,105100,50,19,83,low to medium,low,high,high,,
,Credit counselors    ,35600,37,16,81,low to medium,very low,high,high,,
,Engineers all other    ,170100,75,52,90,high,medium to high,very high,very high,,
,Exercise physiologists    ,19800,43,22,78,low to medium,low,high,high,,
,Labor relations specialists    ,78900,10,6,44,very low,very low,low to medium,low to medium,,
,Database administrators and architects,132500,,,,,,,,,
,Data scientists and mathematical science occupations all other,33200,,,,,,,,,
,News analysts reporters and journalists,52000,5,6,14,very low,very low,very low,very low,,
,Statistical assistants    ,10800,61,7,67,medium to high,very low,high,high,,
,Therapists all other    ,32599.998,50.285713,35.285713,70,50.285713,low to medium,high,high,,
,Tutors and teachers and instructors all other,406200,37,34,55,low to medium,low to medium,medium to high,medium to high,,
,Computer programmers,213900,,,,,,,,,
,Life scientists all other    ,7000,,,,,,,,,
,Computer systems analysts,632400,,,,,,,,,
,Financial managers    ,697900,28,7,67,low,very low,high,high,,
,Special education teachers secondary school,143000,24,25,54,low,low,medium to high,medium to high,,
,Public relations specialists    ,274600,18,10,23,low,very low,low,low,,
,Human resources specialists    ,666500,10,6,44,very low,very low,low to medium,low to medium,,
,Management analysts    ,876300,33,25,80,low,low,high,high,,
,Insurance underwriters    ,114700,21,7,84,low,very low,very high,very high,,
,Network and computer systems administrators,373900,,,,,,,,,
,Administrative services and facilities managers,325900,50,26,68,low to medium,low,high,high,,
,Surveyors    ,48000,80,54,84,high,medium to high,very high,very high,,
,Tax examiners and collectors and revenue agents    ,57600,13,12,48,very low,very low,low to medium,low to medium,,
,Social workers all other    ,62500,20,17,60,low,low,medium to high,medium to high,,
,Arbitrators mediators and conciliators    ,7300,40,16,79,low to medium,very low,high,high,,
,Mechanical engineers    ,316300,69,22,75,high,low,high,high,,
,Physical scientists all other    ,22800,78,25,89,high,low,very high,very high,,
,Recreational therapists    ,19900,26,22,54,low,low,medium to high,medium to high,,
,Editors    ,118700,5,6,14,very low,very low,very low,very low,,
,Secondary school teachers except special and career/technical education    ,1050800,19,10,43,low,very low,low to medium,low to medium,,
,Art directors    ,99100,66,33,52,medium to high,low,medium to high,medium to high,,
,Probation officers and correctional treatment specialists    ,91800,5,9,21,very low,very low,low,low,,
,Career/technical education teachers middle school    ,11800,22,14,40,low,very low,low to medium,low to medium,,
,Athletic trainers    ,32099.998,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Substitute teachers short-term,619400,,,,,,,,,
,Directors religious activities and education    ,157500,15,8,63,very low,very low,medium to high,medium to high,,
,Loan officers    ,316900,37,16,81,low to medium,very low,high,high,,
,Set and exhibit designers    ,15200,59,47,77,medium to high,low to medium,high,high,,
,Coaches and scouts    ,292000,27,54,52,low,medium to high,medium to high,medium to high,,
,Atmospheric and space scientists    ,9900,44,16,100,low to medium,very low,very high,very high,,
,Budget analysts    ,55400,37,16,81,low to medium,very low,high,high,,
,Interior designers    ,77900,59,47,77,medium to high,low to medium,high,high,,
,Bioengineers and biomedical engineers    ,21200,75,52,90,high,medium to high,very high,very high,,
,Biological technicians    ,87500,91,51,84,very high,medium to high,very high,very high,,
,Commercial and industrial designers    ,42200,59,47,77,medium to high,low to medium,high,high,,
,Financial examiners    ,66900,17,22,42,low,low,low to medium,low to medium,,
,Adult basic education adult secondary education and English as a Second Language instructors    ,59300,37,34,55,low to medium,low to medium,medium to high,medium to high,,
,Occupational health and safety specialists,100500,,,,,,,,,
,Music directors and composers    ,58000,13,9,28,very low,very low,low,low,,
,Special education teachers middle school,84700,24,25,54,low,low,medium to high,medium to high,,
,Architectural and engineering managers    ,198100,50,26,68,low to medium,low,high,high,,
,Purchasing managers    ,76900,2,2,23,very low,very low,low,low,,
,Electronics engineers except computer    ,134900,74,52,87,high,medium to high,very high,very high,,
,Foresters    ,11600,64,54,77,medium to high,medium to high,high,high,,
,Civil engineers    ,329200,45,18,85,low to medium,low,very high,very high,,
,Software developers and software quality assurance analysts and testers,1469200,,,,,,,,,
,Computer hardware engineers    ,71100,74,52,87,high,medium to high,very high,very high,,
,Construction managers    ,476700,50,26,68,low to medium,low,high,high,,
,Graphic designers    ,281500,59,47,77,medium to high,low to medium,high,high,,
,Personal service managers all other; entertainment and recreation managers except gambling; and managers all other,1189200,50,26,68,low to medium,low,high,high,,
,Computer and information systems managers    ,461000,50,26,68,low to medium,low,high,high,,
,Forensic science technicians    ,17200,80,51,82,high,medium to high,high,high,,
,Biological scientists all other    ,44700,62,52,82,medium to high,medium to high,high,high,,
,Training and development specialists    ,327900,10,6,44,very low,very low,low to medium,low to medium,,
,Fashion designers    ,28300,59,47,77,medium to high,low to medium,high,high,,
,Hydrologists    ,7000,59,25,91,medium to high,low,very high,very high,,
,Food scientists and technologists    ,14200,17,25,53,low,low,medium to high,medium to high,,
,Landscape architects    ,24500,67,25,87,high,low,very high,very high,,
,Compliance officers    ,337600,17,22,42,low,low,low to medium,low to medium,,
,Sales representatives wholesale and manufacturing technical and scientific products    ,321000,11,4,18,very low,very low,low,low,,
,Social and community service managers    ,175500,50,26,68,low to medium,low,high,high,,
,Marketing managers    ,286300,68,37,82,high,low to medium,high,high,,
,Camera operators television video and film    ,29700,84,68,80,very high,high,high,high,,
,Training and development managers    ,42300,21,7,75,low,very low,high,high,,
,Environmental engineers    ,55800,75,52,90,high,medium to high,very high,very high,,
,Proofreaders and copy markers    ,10300,64,47,93,medium to high,low to medium,very high,very high,,
,Chemists    ,86700,47,18,85,low to medium,low,very high,very high,,
,Special effects artists and animators    ,67500,66,33,52,medium to high,low,medium to high,medium to high,,
,Materials engineers    ,27500,72,19,100,high,low,very high,very high,,
,General and operations managers    ,2486400,50,26,68,low to medium,low,high,high,,
,Middle school teachers except special and career/technical education    ,627100,22,14,40,low,very low,low to medium,low to medium,,
,Cartographers and photogrammetrists    ,12000,80,54,84,high,medium to high,very high,very high,,
,Logisticians    ,188200,50,19,83,low to medium,low,high,high,,
,Sales engineers    ,64500,17,4,47,low,very low,low to medium,low to medium,,
,Advertising and promotions managers    ,28600,68,37,82,high,low to medium,high,high,,
,Public relations and fundraising managers,88000,68,37,82,high,low to medium,high,high,,
,Agricultural engineers    ,1700,75,52,90,high,medium to high,very high,very high,,
,Buyers and purchasing agents,449300,57,30.333334,88.333336,medium to high,low,very high,very high,,
,Substance abuse behavioral disorder and mental health counselors,319400,17,9,40,low,very low,low to medium,low to medium,,
,Elementary school teachers except special education    ,1452100,22,14,40,low,very low,low to medium,low to medium,,
,Legislators    ,53700,,,,,,,,,
,Industrial engineers    ,295800,62,50,84,medium to high,low to medium,very high,very high,,
,Petroleum engineers    ,33400,70,55,85,high,medium to high,very high,very high,,
,Social scientists and related workers all other    ,38800,59,41,87,medium to high,low to medium,very high,very high,,
,Broadcast announcers and radio disc jockeys    ,40800,17,17,9,low,low,very low,very low,,
,Project management specialists and business operations specialists all other,1361800,24,19,54,low,low,medium to high,medium to high,,
,Sales managers    ,433800,68,37,82,high,low to medium,high,high,,
,Animal scientists    ,2800,17,25,53,low,low,medium to high,medium to high,,
